Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32855119,"Die Eule von Askir (Das Geheimnis von Askir, #6)",Richard Schwartz,"Schwartz, Richard",,"=""""","=""""",4,4.43,Piper ebooks,Kindle Edition,688,2016,2009,,2017/05/06,,,read,,,,1,0
61907,Der Kadett,Lois McMaster Bujold,"Bujold, Lois McMaster",Edda Petri,"=""3453149076""","=""9783453149076""",5,4.27,Heyne,Paperback,380,1999,1986,1996/05/09,2015/05/09,,,read,,,,1,0
2180460,Cordelias Ehre,Lois McMaster Bujold,"Bujold, Lois McMaster",Michael Morgental,"=""3453520017""","=""9783453520011""",3,4.33,Heyne,Mass Market Paperback,592,2004,1996,1996/05/09,2015/05/09,,,read,,,,1,0
61905,"Barrayar (Vorkosigan Saga, #7)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""0743468414""","=""9780743468411""",3,4.29,Gardners Books,Paperback,336,2003,1991,1996/05/09,2015/05/09,,,read,,,,1,0
3006201,Barrayar: Der Botschafter,Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""3453521277""","=""9783453521278""",3,4.52,Heyne,Paperback,959,2006,2008,1996/05/09,2015/05/09,,,read,,,,1,0
15831078,"Scherben der Ehre (Barrayar-Zyklus, #1)",Lois McMaster Bujold,"Bujold, Lois McMaster",Michael Morgental,"=""3453128109""","=""9783453128101""",2,4.08,Heyne,Paperback,335,1997,1986,1996/05/09,2015/05/09,,,read,,,,1,0
13536649,"Trapped (The Iron Druid Chronicles, #5)",Kevin Hearne,"Hearne, Kevin",,"=""034553364X""","=""9780345533647""",0,4.27,Del Rey,Mass Market Paperback,290,2012,2012,,2023/08/19,to-read,to-read (#140),to-read,,,,0,0
12700306,"Tricked (The Iron Druid Chronicles, #4)",Kevin Hearne,"Hearne, Kevin",,"=""0345533623""","=""9780345533623""",4,4.25,Random House Publishing Group,Mass Market Paperback,341,2012,2012,,2023/08/19,currently-reading,currently-reading (#1),currently-reading,,,,2,0
24662202,"Gehämmert (Die Chronik des eisernen Druiden, #3)",Kevin Hearne,"Hearne, Kevin","Alexander Wagner, Friedrich Mader","=""3608939334""","=""9783608939330""",5,4.21,Klett-Cotta,Paperback,366,2015,2011,2015/05/11,2015/05/09,,,read,"Naja, es gibt teilweise interessante Ideen in dem Buch. Aber es wirkt alles billig und durchsichtig gemacht. Wenn ich Kevin Hearne mit Jim Butcher vergleiche und irgendwie werde ich das Gefühl nicht los, das Hearne abgekupfert hat, dann würde ich klar Butcher empfehlen.<br/><br/>Hat mich nicht umgehauen. ",,,1,0
9595650,"Hexed (The Iron Druid Chronicles, #2)",Kevin Hearne,"Hearne, Kevin",,"=""0345522494""","=""9780345522498""",4,4.22,Del Rey,Mass Market Paperback,296,2011,2011,,2023/08/19,,,read,,,,1,0
9533378,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,"Hearne, Kevin",,"=""0345522478""","=""9780345522474""",4,4.09,Del Rey,Mass Market Paperback,304,2011,2011,,2023/08/19,,,read,,,,1,0
8479967,"Zauberlehrling voller Fehl und Adel (Trix Solier, #1)",Sergei Lukyanenko,"Lukyanenko, Sergei",Christiane Pöhlmann,"=""3407810741""","=""9783407810748""",0,3.76,Beltz & Gelberg,Hardcover,581,2010,2009,,2019/12/30,to-read,to-read (#139),to-read,,,,1,0
52530174,Das Feuer der Dämonen (Demon Cycle),Peter V. Brett,"Brett, Peter V.",,"=""3453320530""","=""9783453320536""",5,4.20,Heyne,Paperback,542,2019,2019,,2019/10/09,,,read,,,,1,0
35015460,"Zeitenfeuer (The First Empire, #2)",Michael J. Sullivan,"Sullivan, Michael J.",Marcel Aubron-Bülles,"=""3426520346""","=""9783426520345""",4,4.29,Knaur TB,Paperback,624,2018,2017,,2019/10/20,,,read,,,,1,0
9676849,"Dreadnaught (The Lost Fleet: Beyond the Frontier, #1)",Jack Campbell,"Campbell, Jack",,"=""0441020372""","=""9780441020379""",3,4.05,Ace,Hardcover,356,2011,2011,2017/01/08,2017/01/08,,,read,,,,1,0
13497841,Die Insel der besonderen Kinder,Ransom Riggs,"Riggs, Ransom",Silvia Kinkel,"=""3426411954""","=""9783426411957""",3,3.92,Knaur,ebook,416,2011,2011,2015/05/09,2015/05/09,,,read,,,,1,0
9397145,Tschick,Wolfgang Herrndorf,"Herrndorf, Wolfgang",,"=""3871347108""","=""9783871347108""",4,3.59,Rowohlt,Hardcover,254,2010,2010,,2019/12/31,,,read,,,,1,0
7200884,"Victorious (The Lost Fleet, #6)",Jack Campbell,"Campbell, Jack",,"=""0441018696""","=""9780441018697""",4,4.10,Ace,Mass Market Paperback,352,2010,2010,2017/01/08,2017/01/08,,,read,,,,1,0
2341319,"Valiant (The Lost Fleet, #4)",Jack Campbell,"Campbell, Jack",,"=""0441016197""","=""9780441016198""",3,4.00,Ace,Mass Market Paperback,284,2008,2008,2017/01/08,2017/01/08,,,read,,,,1,0
96594,"Fearless (The Lost Fleet, #2)",Jack Campbell,"Campbell, Jack",,"=""0441014763""","=""9780441014767""",4,3.99,Ace,Mass Market Paperback,295,2007,2007,2017/01/08,2017/01/08,,,read,,,,1,0
112292,"Dauntless (The Lost Fleet, #1)",Jack Campbell,"Campbell, Jack",,"=""0441014186""","=""9780441014187""",3,3.96,Ace Books,Mass Market Paperback,293,2006,2006,2017/01/08,2016/10/15,,,read,,,,1,0
1372055,"Courageous (The Lost Fleet, #3)",Jack Campbell,"Campbell, Jack",,"=""0441015670""","=""9780441015672""",4,3.99,Ace,Mass Market Paperback,299,2007,2007,2017/01/08,2017/01/08,,,read,,,,1,0
